Model,Train Acc,Test Acc,F1 Score,AUC,Time (s)
XGBoost,1.0,0.8861386138613861,0.884903255126259,0.9717896210257898,0.9006936550140381
Random Forest,0.9782531824611033,0.8925035360678925,0.8904076628740412,0.9724450833259025,0.49210095405578613
SVM,0.8009193776520509,0.8026874115983027,0.7865753516228561,0.9357236909379785,3.8417413234710693
