toi,toipfx,st_tmag,st_dist,st_disterr1,st_disterr2,st_pmdecerr2,st_pmdecerr1,tfopwg_disp
2289.01,2289,10.0011,139.616,0.6075,-0.6075,-0.049,0.049,PC
229.01,229,11.5005,211.196,1.7515,-1.7515,-0.036,0.036,KP
2290.01,2290,11.1079,58.0924,0.0729,-0.0729,-0.043,0.043,PC
2291.01,2291,11.9959,69.3787,0.10095,-0.10095,-0.052,0.052,PC
2292.01,2292,10.8746,204.888,1.107,-1.107,-0.048,0.048,PC
2293.01,2293,11.814,62.7576,0.12815,-0.12815,-0.058,0.058,PC
2294.01,2294,9.78288,191.396,0.7605,-0.7605,-0.042,0.042,PC
2295.01,2295,9.00772,126.279,0.395,-0.395,-0.045,0.045,PC
2296.01,2296,10.4431,135.723,0.602,-0.602,-0.057,0.057,PC
2297.01,2297,11.6702,168.911,0.7,-0.7,-0.047,0.047,PC
2298.01,2298,11.1919,84.1738,0.1599,-0.1599,-0.042,0.042,PC
2299.01,2299,9.863,,0.288849,-0.288849,-0.092,0.092,FA
230.01,230,8.7435,140.941,0.852,-0.852,-0.072,0.072,FA
2300.01,2300,11.8231,221.705,1.0125,-1.0125,-0.046,0.046,PC
2300.02,2300,11.8231,221.705,1.0125,-1.0125,-0.046,0.046,PC
2300.03,2300,11.8231,221.705,1.0125,-1.0125,-0.046,0.046,PC
2301.01,2301,8.36872,120.221,0.3445,-0.3445,-0.046,0.046,PC
2302.01,2302,11.0075,171.909,1.2375,-1.2375,-0.076,0.076,APC
2303.01,2303,11.8199,643.988,15.055,-15.055,-0.046,0.046,FP
2304.01,2304,10.2356,218.091,1.722,-1.722,-0.066,0.066,PC
2305.01,2305,12.8483,568.299,7.459,-7.459,-0.036,0.036,APC
2306.01,2306,13.3456,694.32,10.798,-10.798,-0.034,0.034,PC
2307.01,2307,12.2294,470.156,9.488,-9.488,-0.056,0.056,PC
2308.01,2308,12.2397,613.155,14.5875,-14.5875,-0.052,0.052,PC
2309.01,2309,10.0596,223.516,1.297,-1.297,-0.041,0.041,PC
231.01,231,11.4779,197.119,1.6195,-1.6195,-0.064,0.064,KP
2310.01,2310,12.9565,,,,,,PC
2311.01,2311,12.0892,264.874,,,-1.006,1.006,APC
2312.01,2312,12.526,490.314,,,-3.329,3.329,PC
2313.01,2313,11.449,330.949,,,,,PC
2314.01,2314,11.7493,540.268,9.0505,-9.0505,-0.038,0.038,PC
2315.01,2315,11.0675,290.436,5.3815,-5.3815,-0.058,0.058,APC
2316.01,2316,12.0516,539.486,13.1975,-13.1975,-0.078,0.078,FP
2317.01,2317,11.8831,448.143,3.98,-3.98,-0.037,0.037,FP
2318.01,2318,8.6512,45.0103,,,-2.0,2.0,APC
2319.01,2319,8.40302,107.898,0.317,-0.317,-0.037,0.037,CP
2319.02,2319,8.40302,107.898,0.317,-0.317,-0.037,0.037,KP
232.01,232,11.8295,267.206,3.7205,-3.7205,-0.048,0.048,KP
2320.01,2320,9.85317,167.542,1.471,-1.471,-0.106,0.106,FP
2321.01,2321,9.84325,120.535,0.6485,-0.6485,-0.069,0.069,PC
2322.01,2322,10.0534,59.861,0.07945,-0.07945,-0.038,0.038,CP
2322.02,2322,10.0534,59.861,0.07945,-0.07945,-0.038,0.038,CP
2323.01,2323,10.3338,238.68,1.328,-1.328,-0.037,0.037,FP
2324.01,2324,9.14425,165.158,1.09,-1.09,-0.065,0.065,PC
2325.01,2325,9.5103,223.852,1.705,-1.705,-0.052,0.052,APC
2326.01,2326,9.456,154.124,,,-1.9,1.9,PC
2327.01,2327,9.4088,100.351,0.194,-0.194,-0.047,0.047,PC
2328.01,2328,11.584,231.782,1.1035,-1.1035,-0.035,0.035,CP
2329.01,2329,11.7944,333.701,2.165,-2.165,-0.037,0.037,PC
233.01,233,11.3018,33.773,0.04565,-0.04565,-0.065,0.065,PC
233.02,233,11.3018,33.773,0.04565,-0.04565,-0.065,0.065,PC
2330.01,2330,11.8699,416.784,5.6845,-5.6845,-0.04,0.04,KP
2331.01,2331,13.3666,163.356,0.585,-0.585,-0.04,0.04,PC
2332.01,2332,12.2015,360.478,5.8805,-5.8805,-0.072,0.072,PC
2333.01,2333,12.3462,817.874,16.175,-16.175,-0.047,0.047,PC
2334.01,2334,12.1385,593.163,17.5995,-17.5995,-0.094,0.094,PC
2335.01,2335,12.1323,439.747,4.048,-4.048,-0.043,0.043,APC
2336.01,2336,10.1757,297.716,5.75,-5.75,-0.078,0.078,CP
2337.01,2337,11.2347,536.046,5.9135,-5.9135,-0.042,0.042,CP
2338.01,2338,11.7024,313.996,1.968,-1.968,-0.036,0.036,CP
2339.01,2339,11.9507,753.745,11.069,-11.069,-0.043,0.043,PC
234.01,234,14.6253,249.345,4.101,-4.101,-0.069,0.069,PC
2340.01,2340,11.8012,178.999,1.6895,-1.6895,-0.134,0.134,FP
2341.01,2341,12.722,121.433,0.57,-0.57,-0.041,0.041,FP
2342.01,2342,11.1581,139.546,0.4215,-0.4215,-0.042,0.042,FP
2343.01,2343,12.2539,511.208,6.1775,-6.1775,-0.043,0.043,PC
2344.01,2344,12.2766,802.875,19.723,-19.723,-0.048,0.048,PC
2345.01,2345,10.3759,81.6541,0.16515,-0.16515,-0.04,0.04,PC
2345.02,2345,10.3759,81.6541,0.16515,-0.16515,-0.04,0.04,PC
2346.01,2346,11.5584,437.484,6.0615,-6.0615,-0.058,0.058,PC
2347.01,2347,11.6751,587.369,13.9635,-13.9635,-0.058,0.058,APC
2348.01,2348,11.6884,487.854,8.938,-8.938,-0.08,0.08,PC
2349.01,2349,11.8929,528.869,10.612,-10.612,-0.059,0.059,APC
235.01,235,9.4688,104.301,,,-2.0,2.0,PC
2350.01,2350,10.6477,185.506,1.006,-1.006,-0.045,0.045,PC
2350.02,2350,10.6477,185.506,1.006,-1.006,-0.045,0.045,PC
2351.01,2351,12.1103,457.57,11.2055,-11.2055,-0.071,0.071,APC
2352.01,2352,11.0863,231.907,1.5495,-1.5495,-0.041,0.041,PC
2353.01,2353,11.895,723.392,16.8415,-16.8415,-0.047,0.047,PC
2354.01,2354,11.9951,569.651,11.0955,-11.0955,-0.052,0.052,FP
2355.01,2355,11.7959,418.251,6.009,-6.009,-0.069,0.069,PC
2356.01,2356,11.7118,415.04,3.587,-3.587,-0.04,0.04,PC
2357.01,2357,11.4586,503.535,11.249,-11.249,-0.073,0.073,PC
2358.01,2358,11.5137,395.046,8.438,-8.438,-0.118,0.118,FP
2359.01,2359,11.0331,594.265,13.8565,-13.8565,-0.054,0.054,PC
236.01,236,11.2932,502.927,18.046,-18.046,-0.068,0.068,FP
2360.01,2360,11.9961,580.188,6.1975,-6.1975,-0.033,0.033,FP
2361.01,2361,11.9196,314.877,3.9235,-3.9235,-0.058,0.058,PC
2362.01,2362,12.3715,634.033,8.413,-8.413,-0.038,0.038,PC
2363.01,2363,12.1046,721.25,11.557,-11.557,-0.044,0.044,PC
2364.01,2364,11.5521,219.614,1.702,-1.702,-0.063,0.063,CP
2365.01,2365,11.9732,415.137,3.9495,-3.9495,-0.041,0.041,FP
2366.01,2366,11.8402,439.569,9.183,-9.183,-0.062,0.062,APC
2367.01,2367,12.3193,467.516,10.745,-10.745,-0.064,0.064,PC
2368.01,2368,11.6955,210.915,1.1745,-1.1745,-0.041,0.041,CP
2369.01,2369,12.1227,418.29,8.3105,-8.3105,-0.082,0.082,PC
237.01,237,13.4102,38.0749,0.22785,-0.22785,-0.156,0.156,CP
2370.01,2370,11.4878,294.752,2.722,-2.722,-0.035,0.035,PC
2371.01,2371,12.2036,471.152,13.9325,-13.9325,-0.081,0.081,PC
2372.01,2372,12.2186,1092.91,38.565,-38.565,-0.051,0.051,FP
2373.01,2373,12.5882,508.686,7.327,-7.327,-0.034,0.034,CP
2374.01,2374,11.2057,134.655,0.8695,-0.8695,-0.055,0.055,CP
2375.01,2375,12.6389,521.117,6.244,-6.244,-0.033,0.033,PC
2376.01,2376,12.7119,665.583,14.3285,-14.3285,-0.047,0.047,PC
2377.01,2377,14.1858,288.642,16.806,-16.806,-0.173,0.173,APC
2378.01,2378,13.3921,390.618,9.4695,-9.4695,-0.083,0.083,PC
2379.01,2379,13.6521,211.247,1.0895,-1.0895,-0.036,0.036,CP
238.01,238,9.926601,80.5407,0.26635,-0.26635,-0.059,0.059,CP
2380.01,2380,9.4834,275.587,4.533,-4.533,-0.059,0.059,KP
2381.01,2381,12.3643,422.151,3.8555,-3.8555,-0.038,0.038,PC
2382.01,2382,11.4408,434.92,15.7905,-15.7905,-0.088,0.088,PC
2383.01,2383,10.459,174.593,2.695,-2.695,-0.088,0.088,APC
2384.01,2384,13.3147,191.51,2.0475,-2.0475,-0.095,0.095,CP
2385.01,2385,13.5445,401.837,6.4275,-6.4275,-0.058,0.058,PC
2386.01,2386,10.5853,252.759,4.676,-4.676,-0.07,0.07,KP
2387.01,2387,11.8933,396.308,13.3465,-13.3465,-0.145,0.145,APC
2388.01,2388,8.115,,,,-1.4,1.4,PC
2389.01,2389,13.3922,526.591,11.472,-11.472,-0.056,0.056,PC
239.01,239,10.9774,353.539,9.056,-9.056,-0.07,0.07,KP
2390.01,2390,11.3641,659.201,10.9275,-10.9275,-0.036,0.036,PC
2391.01,2391,12.937,859.509,12.933,-12.933,-0.023,0.023,PC
2392.01,2392,10.3998,325.608,2.199,-2.199,-0.044,0.044,PC
2392.02,2392,10.3998,325.608,2.199,-2.199,-0.044,0.044,PC
2392.03,2392,10.3998,325.608,2.199,-2.199,-0.044,0.044,PC
2393.01,2393,12.0585,372.18,3.082,-3.082,-0.037,0.037,PC
2394.01,2394,11.9522,236.363,1.9925,-1.9925,-0.031,0.031,PC
2395.01,2395,11.7622,413.22,6.3595,-6.3595,-0.038,0.038,PC
2396.01,2396,11.4944,469.613,10.403,-10.403,-0.052,0.052,APC
2397.01,2397,12.0749,330.684,5.638,-5.638,-0.051,0.051,PC
2398.01,2398,11.6701,195.153,1.828,-1.828,-0.046,0.046,PC
2399.01,2399,11.738,611.359,13.0305,-13.0305,-0.038,0.038,PC
240.01,240,10.7011,74.881,0.1538,-0.1538,-0.032,0.032,PC
2400.01,2400,10.7961,465.461,5.667,-5.667,-0.047,0.047,FP
2401.01,2401,9.0982,323.506,3.9455,-3.9455,-0.071,0.071,PC
2402.01,2402,12.2668,345.003,7.1805,-7.1805,-0.068,0.068,PC
2403.01,2403,9.02706,194.459,6.0225,-6.0225,-0.281,0.281,KP
2404.01,2404,11.1464,295.737,2.154,-2.154,-0.051,0.051,PC
2404.02,2404,11.1464,295.737,2.154,-2.154,-0.051,0.051,FP
2404.03,2404,11.1464,295.737,2.154,-2.154,-0.051,0.051,FP
2405.01,2405,12.5515,153.332,0.35,-0.35,-0.03,0.03,PC
2406.01,2406,14.3109,55.419,0.2524,-0.2524,-0.115,0.115,CP
2407.01,2407,12.5264,92.4366,0.20565,-0.20565,-0.046,0.046,CP
2408.01,2408,11.9205,186.328,0.9965,-0.9965,-0.038,0.038,PC
2409.01,2409,11.2711,187.553,0.896,-0.896,-0.045,0.045,FA
241.01,241,10.9571,232.98,1.7765,-1.7765,-0.057,0.057,KP
2410.01,2410,12.2478,232.822,2.1645,-2.1645,-0.048,0.048,APC
2411.01,2411,10.4238,59.5362,0.2865,-0.2865,-0.116,0.116,CP
2412.01,2412,11.9755,57.6851,3.6551,-3.6551,-1.509,1.509,FA
2413.01,2413,11.3882,340.766,4.9185,-4.9185,-0.069,0.069,FP
2414.01,2414,12.003,327.506,3.965,-3.965,-0.045,0.045,KP
2415.01,2415,14.9333,341.299,6.858,-6.858,-0.096,0.096,PC
2416.01,2416,12.4333,557.733,5.9985,-5.9985,-0.041,0.041,CP
2417.01,2417,10.2589,257.337,2.2535,-2.2535,-0.062,0.062,FP
2418.01,2418,10.9166,135.101,0.6055,-0.6055,-0.069,0.069,FP
2419.01,2419,10.4354,245.495,1.2325,-1.2325,-0.043,0.043,PC
242.01,242,12.5766,577.489,27.3855,-27.3855,-0.065,0.065,FP
2420.01,2420,10.8285,435.174,7.207,-7.207,-0.047,0.047,CP
2421.01,2421,10.6918,327.927,3.2165,-3.2165,-0.038,0.038,CP
2422.01,2422,9.4843,100.804,,,-1.4,1.4,APC
2423.01,2423,9.5137,133.354,1.774,-1.774,-0.136,0.136,PC
2424.01,2424,10.2845,410.945,9.2965,-9.2965,-0.054,0.054,FP
2425.01,2425,11.2415,159.676,1.2615,-1.2615,-0.065,0.065,PC
2426.01,2426,9.97008,138.301,0.7385,-0.7385,-0.079,0.079,PC
2427.01,2427,9.0138,28.5147,0.0278,-0.0278,-0.064,0.064,CP
2428.01,2428,9.966,,,,,,APC
2429.01,2429,9.4752,87.0852,0.4101,-0.4101,-0.08,0.08,PC
243.01,243,11.681,709.175,18.6355,-18.6355,-0.045,0.045,APC
2430.01,2430,10.3682,297.858,5.288,-5.288,-0.092,0.092,PC
2431.01,2431,9.5209,36.0559,0.0593,-0.0593,-0.063,0.063,CP
2432.01,2432,10.1849,463.05,8.647,-8.647,-0.061,0.061,PC
2433.01,2433,12.0349,32.6094,0.0435,-0.0435,-0.083,0.083,PC
2434.01,2434,9.06657,594.987,15.9325,-15.9325,-0.062,0.062,APC
2435.01,2435,10.5142,150.086,0.5045,-0.5045,-0.036,0.036,PC
2436.01,2436,8.55595,102.97,0.3565,-0.3565,-0.057,0.057,PC
2437.01,2437,11.2571,286.8,3.39,-3.39,-0.073,0.073,PC
2438.01,2438,16.2463,299.842,6.133,-6.133,-0.162,0.162,FP
2439.01,2439,11.2212,246.165,,,-2.2,2.2,PC
244.01,244,10.3475,22.0337,0.03335,-0.03335,-0.081,0.081,CP
2440.01,2440,11.0529,212.588,1.146,-1.146,-0.046,0.046,APC
2441.01,2441,12.8332,84.5243,0.1908,-0.1908,-0.067,0.067,PC
2441.02,2441,12.8332,84.5243,0.1908,-0.1908,-0.067,0.067,PC
2442.01,2442,11.402,262.475,1.662,-1.662,-0.044,0.044,FP
2443.01,2443,8.2969,23.9258,0.02325,-0.02325,-0.079,0.079,CP
2444.01,2444,13.6732,190.748,2.2995,-2.2995,-0.119,0.119,APC
2445.01,2445,13.1292,48.582,0.24745,-0.24745,-0.132,0.132,CP
2446.01,2446,10.208,159.87,0.5795,-0.5795,-0.04,0.04,PC
2447.01,2447,10.0127,148.987,0.6125,-0.6125,-0.059,0.059,CP
2448.01,2448,10.0039,490.818,6.5195,-6.5195,-0.05,0.05,FP
2448.02,2448,10.0039,490.818,6.5195,-6.5195,-0.05,0.05,PC
2449.01,2449,9.8999,156.786,0.5845,-0.5845,-0.053,0.053,CP
245.01,245,8.5509,127.272,0.9345,-0.9345,-0.122,0.122,PC
2450.01,2450,11.4894,188.967,1.748,-1.748,-0.06,0.06,PC
2451.01,2451,15.8552,361.474,16.5445,-16.5445,-0.157,0.157,FP
2452.01,2452,11.1925,148.462,0.9405,-0.9405,-0.089,0.089,FP
2453.01,2453,12.4223,81.9043,0.3055,-0.3055,-0.051,0.051,PC
2454.01,2454,10.7047,91.9976,0.2919,-0.2919,-0.031,0.031,PC
2455.01,2455,12.986,143.9793,,,-2.0,2.0,PC
2456.01,2456,9.588,69.1329,0.2004,-0.2004,-0.053,0.053,PC
2457.01,2457,10.8749,61.425,0.1221,-0.1221,-0.033,0.033,PC
2458.01,2458,8.71008,112.958,0.5375,-0.5375,-0.055,0.055,CP
2459.01,2459,9.3951,36.6113,0.03455,-0.03455,-0.045,0.045,CP
246.01,246,11.2794,169.272,,,-3.695,3.695,KP
2460.01,2460,11.3357,279.5,2.9685,-2.9685,-0.048,0.048,APC
2461.01,2461,10.8243,372.632,18.55,-18.55,-0.094,0.094,KP
2462.01,2462,11.7884,516.495,13.1145,-13.1145,-0.063,0.063,PC
2463.01,2463,9.0318,332.825,2.856,-2.856,-0.052,0.052,PC
2464.01,2464,12.3352,288.326,2.022,-2.022,-0.037,0.037,KP
2465.01,2465,10.2994,219.093,1.6175,-1.6175,-0.052,0.052,PC
2466.01,2466,12.0364,663.834,18.8685,-18.8685,-0.051,0.051,KP
2467.01,2467,10.2712,94.7639,0.30345,-0.30345,-0.031,0.031,PC
2468.01,2468,10.3598,421.726,5.181,-5.181,-0.055,0.055,FP
2469.01,2469,10.6749,632.183,19.301,-19.301,-0.055,0.055,FP
247.01,247,11.9116,352.464,4.6845,-4.6845,-0.038,0.038,KP
2470.01,2470,10.0632,66.7536,0.20335,-0.20335,-0.066,0.066,PC
2471.01,2471,10.4723,499.452,9.3875,-9.3875,-0.036,0.036,PC
2472.01,2472,8.94848,148.667,0.9885,-0.9885,-0.046,0.046,PC
2473.01,2473,10.5347,284.183,3.6275,-3.6275,-0.052,0.052,PC
2474.01,2474,7.82622,132.686,1.04,-1.04,-0.134,0.134,PC
2475.01,2475,10.7302,235.608,2.5695,-2.5695,-0.054,0.054,FP
2476.01,2476,10.1263,537.765,9.938,-9.938,-0.058,0.058,APC
2477.01,2477,10.2422,362.227,5.0755,-5.0755,-0.05,0.05,PC
2478.01,2478,10.6827,209.93,1.879,-1.879,-0.05,0.05,PC
2479.01,2479,9.354,104.896,0.255,-0.255,-0.044,0.044,PC
248.01,248,8.4642,75.9529,0.1409,-0.1409,-0.038,0.038,PC
2480.01,2480,10.8256,470.356,5.0525,-5.0525,-0.045,0.045,FP
2481.01,2481,10.6675,151.756,0.8325,-0.8325,-0.048,0.048,PC
2482.01,2482,9.6254,,,,-2.0,2.0,PC
2483.01,2483,10.1217,259.299,1.4305,-1.4305,-0.044,0.044,FP
2484.01,2484,10.8945,179.127,0.833,-0.833,-0.036,0.036,PC
2485.01,2485,10.9687,397.953,8.0605,-8.0605,-0.09,0.09,CP
2486.01,2486,11.1869,96.5003,0.2093,-0.2093,-0.043,0.043,PC
2487.01,2487,12.8466,646.188,4.501,-4.501,-0.019,0.019,PC
2488.01,2488,10.6292,385.238,10.3255,-10.3255,-0.091,0.091,PC
2489.01,2489,11.2451,215.394,5.026,-5.026,-0.172,0.172,APC
249.01,249,11.2738,70.6272,0.15645,-0.15645,-0.041,0.041,PC
2490.01,2490,11.2759,267.648,1.6085,-1.6085,-0.042,0.042,PC
2491.01,2491,11.0233,533.726,12.711,-12.711,-0.076,0.076,APC
2492.01,2492,11.6749,421.423,14.039,-14.039,-0.074,0.074,FP
2493.01,2493,11.433,93.1416,0.24335,-0.24335,-0.056,0.056,PC
2494.01,2494,10.7202,152.866,0.875,-0.875,-0.057,0.057,PC
2494.02,2494,10.7202,152.866,0.875,-0.875,-0.057,0.057,PC
2495.01,2495,12.2285,43.0789,0.1195,-0.1195,-0.095,0.095,PC
2496.01,2496,14.1969,196.683,2.199,-2.199,-0.111,0.111,PC
2497.01,2497,9.14112,285.289,3.5215,-3.5215,-0.064,0.064,CP
2498.01,2498,10.844,275.265,4.143,-4.143,-0.076,0.076,CP
2499.01,2499,10.7996,233.953,2.7545,-2.7545,-0.098,0.098,APC
250.01,250,11.5464,309.137,3.3775,-3.3775,-0.046,0.046,KP
2500.01,2500,11.619,702.71,23.7115,-23.7115,-0.065,0.065,PC
2501.01,2501,11.6751,93.8832,0.17855,-0.17855,-0.044,0.044,PC
2502.01,2502,13.6373,1477.98,35.75,-35.75,-0.029,0.029,KP
2503.01,2503,13.9819,743.972,10.74,-10.74,-0.032,0.032,KP
2504.01,2504,10.6358,508.561,13.9055,-13.9055,-0.069,0.069,PC
2505.01,2505,10.7015,282.783,3.657,-3.657,-0.07,0.07,PC
2506.01,2506,9.9257,236.243,,,-1.2,1.2,APC
2507.01,2507,9.4951,103.454,0.2215,-0.2215,-0.044,0.044,PC
2508.01,2508,10.3559,306.597,,,-1.9,1.9,PC
2509.01,2509,10.7088,446.952,12.112,-12.112,-0.101,0.101,APC
251.01,251,9.3258,99.523,0.4355,-0.4355,-0.07,0.07,CP
2510.01,2510,10.0879,204.166,0.984,-0.984,-0.045,0.045,FP
2511.01,2511,10.9539,523.867,18.6435,-18.6435,-0.076,0.076,FP
2512.01,2512,9.22605,199.337,1.106,-1.106,-0.052,0.052,PC
2513.01,2513,10.0509,258.693,2.4955,-2.4955,-0.087,0.087,PC
2514.01,2514,10.667,173.764,0.913,-0.913,-0.056,0.056,PC
2515.01,2515,10.1083,281.448,2.0195,-2.0195,-0.047,0.047,PC
2516.01,2516,9.9552,545.079,,,-1.9,1.9,APC
2517.01,2517,10.0386,403.768,4.815,-4.815,-0.048,0.048,FP
2518.01,2518,10.2282,160.825,0.7245,-0.7245,-0.047,0.047,PC
2519.01,2519,10.2807,81.856,0.1858,-0.1858,-0.041,0.041,PC
252.01,252,11.7497,190.596,,,-5.5,5.5,APC
2520.01,2520,9.859901,87.4053,0.37885,-0.37885,-0.089,0.089,PC
2521.01,2521,10.8218,341.347,4.925,-4.925,-0.095,0.095,APC
2522.01,2522,9.1239,84.5017,0.40195,-0.40195,-0.083,0.083,PC
2523.01,2523,10.1424,166.257,1.03,-1.03,-0.073,0.073,PC
2524.01,2524,12.1772,438.842,8.0285,-8.0285,-0.071,0.071,CP
2525.01,2525,13.4006,395.398,2.241,-2.241,-0.029,0.029,CP
2525.02,2525,13.4006,395.398,2.241,-2.241,-0.029,0.029,CP
2526.01,2526,11.0586,302.145,2.481,-2.481,-0.038,0.038,PC
2527.01,2527,11.1673,743.085,85.498,-85.498,-0.235,0.235,PC
2528.01,2528,12.9363,513.431,6.8555,-6.8555,-0.028,0.028,PC
2529.01,2529,10.6693,296.271,4.2295,-4.2295,-0.209,0.209,CP
253.01,253,9.3626,30.8431,0.0281,-0.0281,-0.041,0.041,PC
2530.01,2530,12.7296,216.581,0.639,-0.639,-0.024,0.024,PC
2531.01,2531,12.4329,314.693,1.633,-1.633,-0.03,0.03,PC
2532.01,2532,12.646,363.49,3.981,-3.981,-0.04,0.04,PC
2533.01,2533,11.6417,368.409,4.501,-4.501,-0.061,0.061,PC
2534.01,2534,10.8209,392.929,15.289,-15.289,-0.138,0.138,PC
2535.01,2535,12.7024,343.587,3.6235,-3.6235,-0.037,0.037,PC
2536.01,2536,12.7022,631.951,,,-1.172,1.172,PC
2537.01,2537,12.0294,184.986,1.88,-1.88,-0.073,0.073,CP
2538.01,2538,10.597,906.746,59.3765,-59.3765,-0.15,0.15,PC
2539.01,2539,11.5606,386.525,3.6245,-3.6245,-0.046,0.046,PC
254.01,254,9.8343,133.3143,,,-1.058,1.058,FA
2540.01,2540,8.2731,19.1419,0.0111,-0.0111,-0.053,0.053,PC
2540.02,2540,8.2731,19.1419,0.0111,-0.0111,-0.053,0.053,APC
2541.01,2541,9.9048,737.809,16.163,-16.163,-0.045,0.045,PC
2542.01,2542,14.9801,4625.12,,,-2.035,2.035,PC
2543.01,2543,10.8165,426.798,33.976,-33.976,-0.253,0.253,CP
2544.01,2544,10.7607,377.872,3.384,-3.384,-0.05,0.05,FP
2545.01,2545,8.90594,107.118,0.472,-0.472,-0.061,0.061,CP
2546.01,2546,11.8215,515.356,9.759,-9.759,-0.04,0.04,APC
2547.01,2547,11.302,273.703,2.7065,-2.7065,-0.04,0.04,KP
2548.01,2548,10.0471,100.588,0.4865,-0.4865,-0.056,0.056,KP
2548.02,2548,10.0471,100.588,0.4865,-0.4865,-0.056,0.056,CP
2549.01,2549,11.732,970.123,,,-1.7,1.7,PC
255.01,255,13.7426,745.116,17.117,-17.117,-0.048,0.048,KP
2550.01,2550,10.7757,182.937,2.193,-2.193,-0.054,0.054,FP
2551.01,2551,11.7664,730.421,19.679,-19.679,-0.045,0.045,PC
2552.01,2552,11.8762,102.256,0.556,-0.556,-0.057,0.057,PC
2553.01,2553,11.8225,339.025,2.757,-2.757,-0.04,0.04,PC
2554.01,2554,10.5484,483.922,15.042,-15.042,-0.071,0.071,FP
2555.01,2555,11.1169,441.932,5.5075,-5.5075,-0.041,0.041,FP
2556.01,2556,10.7003,277.281,3.601,-3.601,-0.056,0.056,APC
2557.01,2557,11.2047,797.474,18.594,-18.594,-0.049,0.049,PC
2558.01,2558,11.6919,400.905,,,-1.173,1.173,PC
2559.01,2559,13.1141,502.887,8.0935,-8.0935,-0.029,0.029,PC
256.01,256,11.2991,14.9861,0.01525,-0.01525,-0.085,0.085,KP
256.02,256,11.2991,14.9861,0.01525,-0.01525,-0.085,0.085,KP
2560.01,2560,13.5328,594.274,10.019,-10.019,-0.046,0.046,PC
2561.01,2561,12.1504,581.074,7.666,-7.666,-0.046,0.046,PC
2562.01,2562,12.5945,587.158,6.7255,-6.7255,-0.028,0.028,PC
2563.01,2563,13.3848,501.58,3.3025,-3.3025,-0.03,0.03,PC
2564.01,2564,12.4683,486.785,7.7875,-7.7875,-0.033,0.033,PC
2565.01,2565,12.3642,801.435,24.0715,-24.0715,-0.039,0.039,PC
2566.01,2566,13.0599,343.975,2.231,-2.231,-0.03,0.03,PC
2567.01,2567,11.7489,504.775,5.167,-5.167,-0.042,0.042,CP
2568.01,2568,12.104,751.206,21.131,-21.131,-0.036,0.036,PC
2569.01,2569,11.1769,317.912,4.5105,-4.5105,-0.045,0.045,PC
257.01,257,7.0286,76.9028,0.1948,-0.1948,-0.082,0.082,CP
2570.01,2570,11.9775,361.857,6.2435,-6.2435,-0.06,0.06,CP
2571.01,2571,10.5284,184.514,,,-1.294,1.294,FP
2572.01,2572,13.258,1038.2,29.295,-29.295,-0.039,0.039,PC
2573.01,2573,13.1657,593.937,11.6925,-11.6925,-0.039,0.039,PC
2574.01,2574,12.881,834.038,9.0895,-9.0895,-0.028,0.028,PC
2575.01,2575,13.152,928.149,45.8565,-45.8565,-0.081,0.081,PC
2576.01,2576,12.2323,430.46,7.3515,-7.3515,-0.052,0.052,PC
2577.01,2577,11.5955,786.59,15.959,-15.959,-0.06,0.06,PC
2578.01,2578,10.5863,285.53,3.476,-3.476,-0.043,0.043,PC
2579.01,2579,10.9101,281.498,2.5655,-2.5655,-0.047,0.047,KP
258.01,258,11.0932,530.555,6.4035,-6.4035,-0.05,0.05,FP
2580.01,2580,10.8064,379.253,4.518,-4.518,-0.047,0.047,CP
2581.01,2581,12.9754,515.179,6.476,-6.476,-0.024,0.024,PC
2582.01,2582,12.4848,348.135,,,-2.092,2.092,PC
2583.01,2583,12.0453,566.189,6.399,-6.399,-0.039,0.039,CP
2584.01,2584,12.731,840.101,21.781,-21.781,-0.031,0.031,PC
2585.01,2585,9.8961,89.409,0.3272,-0.3272,-0.048,0.048,FP
2586.01,2586,10.505,336.733,7.0565,-7.0565,-0.084,0.084,PC
2587.01,2587,10.9657,373.675,5.8625,-5.8625,-0.047,0.047,CP
2588.01,2588,10.6713,413.058,4.5535,-4.5535,-0.054,0.054,PC
2589.01,2589,10.7211,200.273,0.829,-0.829,-0.038,0.038,CP
259.01,259,12.3993,364.512,5.573,-5.573,-0.044,0.044,KP
2590.01,2590,9.47351,139.151,0.909,-0.909,-0.077,0.077,PC
2591.01,2591,10.7669,316.228,3.869,-3.869,-0.059,0.059,FP
2592.01,2592,10.871,592.714,,,-1.648,1.648,PC
2593.01,2593,10.3513,436.802,7.692,-7.692,-0.056,0.056,PC
2594.01,2594,10.2626,1295.5,202.945,-202.945,-0.106,0.106,PC
2595.01,2595,10.7212,212.383,2.3065,-2.3065,-0.065,0.065,APC
2596.01,2596,10.9058,127.734,0.621,-0.621,-0.061,0.061,APC
2597.01,2597,9.536,457.178,69.5775,-69.5775,-0.319,0.319,PC
2598.01,2598,10.9766,107.256,0.5465,-0.5465,-0.063,0.063,FP
2599.01,2599,10.9402,836.394,32.973,-32.973,-0.061,0.061,PC
260.01,260,8.4991,20.1852,0.02315,-0.02315,-0.062,0.062,CP
2600.01,2600,10.276,380.422,42.043,-42.043,-0.275,0.275,PC
2601.01,2601,10.8943,641.596,,,-3.1,3.1,PC
2602.01,2602,11.83,622.34,10.607,-10.607,-0.05,0.05,APC
