Model,Train Acc,Test Acc,F1 Score,AUC,Time (s)
XGBoost,0.9996420261320924,0.658554044380816,0.6165712035513586,0.7724569231483744,1.6543519496917725
Random Forest,0.8833005190621085,0.6535433070866141,0.6026788931775424,0.7762141956291612,0.5648808479309082
SVM,0.6076606407732236,0.6020042949176807,0.4570962558470109,0.6850355296312745,6.60300612449646
