st_brightness_norm,st_tmag,st_tmag_value,st_brightness_dist_product,st_distance_norm,st_dist,st_dist_value,st_disterr1,st_disterr2,pl_tranmiderr1,pl_tranmiderr2,st_pmdecerr2,st_pmdecerr1,pl_tranmid,tfopwg_disp
0.4073449790581265,10.2103,10.2103,0.4059666574419331,0.0033836715488193,56.3449,56.3449,0.13245,-0.13245,0.002567,-0.002567,-0.057,0.057,2460032.57304,PC
0.2391970579221575,7.9059,7.9059,0.2389168876708896,0.001171294721188,23.7748,23.7748,0.02025,-0.02025,0.00412,-0.00412,-0.056,0.056,2458544.48066,FP
0.1614932212541774,6.841,6.841,,,,,,,0.00096,-0.00096,,,2458365.89313,FP
0.5031449294397502,11.5232,11.5232,0.4893142167087707,0.0274885265094094,411.211,411.211,7.752,-7.752,0.000586,-0.000586,-0.051,0.051,2458327.25256,KP
0.3606672212249902,9.5706,9.5706,0.3589062041277059,0.0048826646660682,78.41273,78.41273,2.83992,-2.83992,0.000628,-0.000628,-1.073,1.073,2460054.783937,FP
0.3724296951388585,9.7318,9.7318,0.3657449873505251,0.0179489119036038,270.771,270.771,1.6275,-1.6275,0.002852,-0.002852,-0.047,0.047,2459304.837939,FP
0.374567663412285,9.7611,9.7611,0.3597937435707915,0.0394425928466545,587.196,587.196,18.7865,-18.7865,0.000897,-0.000897,-0.087,0.087,2459283.828685,PC
0.3931891481692278,10.0163,10.0163,0.387489425649502,0.0144961338487213,219.94,219.94,,,0.002821,-0.002821,-2.2,2.2,2460195.100648,FP
0.3786757730980838,9.8174,9.8174,0.3694953076433596,0.0242436039137533,363.44,363.44,4.983,-4.983,0.002617,-0.002617,-0.062,0.062,2460768.617427,FP
0.4002159858733565,10.1126,10.1126,0.3909451196461199,0.0231646574711542,347.556,347.556,13.63,-13.63,0.000437,-0.000437,-0.207,0.207,2459286.872605,PC
0.4128321877325862,10.2855,10.2855,0.4078551365448761,0.0120558700014301,184.015,184.015,0.962,-0.962,0.001095,-0.001095,-0.049,0.049,2460037.172273,PC
0.3205711950731872,9.0211,9.0211,0.31462290267053,0.0185552928462557,279.698,279.698,3.279,-3.279,0.003174,-0.003174,-0.068,0.068,2459331.124512,FP
0.2982867066532405,8.7157,8.7157,0.2927302903234389,0.0186277705505023,280.765,280.765,,,0.002025,-0.002025,-1.5,1.5,2459273.371643,FP
0.286071829896531,8.5483,8.5483,0.2305391973793931,0.1941212895279601,2864.34,2864.34,1012.54,-1012.54,0.00071,-0.00071,-0.246,0.246,2460031.2166,APC
0.3820614975993462,9.8638,9.8638,0.3740125242516077,0.0210672192783455,316.678,316.678,2.9655,-2.9655,0.000682,-0.000682,-0.043,0.043,2460150.608677,KP
0.2741853100418838,8.3854,8.3854,0.2606657852914988,0.0493079835251562,732.432,732.432,32.449,-32.449,0.00497,-0.00497,-0.097,0.097,2458520.65674,FP
0.2532215460502314,8.0981,8.0981,0.2480871546481451,0.0202762817073543,305.034,305.034,2.981,-2.981,0.0004,-0.0004,-0.058,0.058,2459261.801216,FP
0.3714227339725348,9.718,9.718,0.3515897873278731,0.0533972340156439,792.633,792.633,19.4965,-19.4965,0.001287,-0.001287,-0.057,0.057,2459281.337956,PC
0.3607620798855858,9.5719,9.5719,0.3558236705602886,0.0136888259621505,208.055,208.055,1.1015,-1.1015,0.003745,-0.003745,-0.045,0.045,2459985.770425,FP
0.3922259679231791,10.0031,10.0031,0.3792201843342643,0.0331589049490522,494.689,494.689,9.557,-9.557,0.000793,-0.000793,-0.069,0.069,2460037.194672,PC
0.3650453132524845,9.6306,9.6306,0.3577511179706461,0.0199816160269215,300.696,300.696,3.3695,-3.3695,0.000611,-0.000611,-0.057,0.057,2459301.544126,FP
0.3928680880872117,10.0119,10.0119,0.3850018837084651,0.0200225078525601,301.298,301.298,2.496,-2.496,0.001123,-0.001123,-0.048,0.048,2460177.867195,FP
0.4091837777096742,10.2355,10.2355,0.4056151140780852,0.0087214201197412,134.926,134.926,1.0555,-1.0555,0.00092,-0.00092,-0.128,0.128,2458544.79061,FP
0.3045838623527866,8.802,8.802,0.2956068613455225,0.0294730027320569,440.426,440.426,9.484,-9.484,0.00075,-0.00075,-0.089,0.089,2458518.376,FP
0.4697619777301052,11.0657,11.0657,0.4599191025620203,0.0209528987757709,314.995,314.995,7.0655,-7.0655,0.000699,-0.000699,-0.055,0.055,2459363.821393,KP
0.3554791821724092,9.4995,9.4995,0.3523156833450115,0.008899252012635,137.544,137.544,0.7905,-0.7905,0.00011,-0.00011,-0.069,0.069,2459084.58501,KP
0.4668724369919589,11.0261,11.0261,0.4542069760250972,0.0271283116400375,405.908,405.908,8.6,-8.6,0.000257,-0.000257,-0.055,0.055,2459355.54563,KP
0.1824205011456007,7.1278,7.1278,0.1818423246457473,0.0031694710639568,53.19149,53.19149,,,0.007425,-0.007425,-2.0,2.0,2458657.736625,FA
0.3204690395925456,9.0197,9.0197,0.3177855920995451,0.0083734999687092,129.804,129.804,0.5575,-0.5575,0.002642,-0.002642,-0.044,0.044,2458332.941229,CP
0.3106329261707748,8.8849,8.8849,0.3052059910694528,0.0174705726409003,263.729,263.729,2.8735,-2.8735,0.001553,-0.001553,-0.059,0.059,2458657.999179,FP
0.2778920946251623,8.4362,8.4362,0.2763460708436267,0.0055633960498984,88.4343,88.4343,0.28175,-0.28175,0.019948,-0.019948,-0.049,0.049,2460122.700139,CP
0.2525429417859697,8.0888,8.0888,0.2516726339505967,0.0034461776251527,57.2651,57.2651,0.18695,-0.18695,0.000867,-0.000867,-0.052,0.052,2458661.062711,CP
0.3676502780088437,9.6663,9.6663,0.3636090399780212,0.0109920711952387,168.354,168.354,0.6765,-0.6765,0.001997,-0.001997,-0.044,0.044,2458326.062424,PC
0.3488828568509844,9.4091,9.4091,0.3467084253354743,0.0062325547753663,98.2855,98.2855,0.26725,-0.26725,0.00308,-0.00308,-0.076,0.076,2458607.350901,PC
0.3466208426367789,9.3781,9.3781,0.3387969177719727,0.0225719977058762,338.831,338.831,6.705,-6.705,0.004563,-0.004563,-0.067,0.067,2458663.023129,PC
0.3761291829020913,9.7825,9.7825,0.3737697916105713,0.0062728216760948,98.8783,98.8783,0.4197,-0.4197,0.000382,-0.000382,-0.034,0.034,2460106.337519,PC
0.415035827386425,10.3157,10.3157,0.4049464887634985,0.0243095606624164,364.411,364.411,2.729,-2.729,0.000127,-0.000127,-0.052,0.052,2460201.638583,KP
0.3675700129883397,9.6652,9.6652,0.3645249482028291,0.0082843123157797,128.491,128.491,3.3745,-3.3745,0.001995,-0.001995,-0.228,0.228,2460149.536226,APC
0.3726267092800958,9.7345,9.7345,0.3694212964849704,0.008602208900479,133.171,133.171,0.6935,-0.6935,0.003078,-0.003078,-0.091,0.091,2458654.253249,FP
0.3539103658625571,9.478,9.478,0.352091936365201,0.0051381074779321,82.1733,82.1733,0.1632,-0.1632,0.001332,-0.001332,-0.042,0.042,2460177.200429,CP
0.3240590750550909,9.0689,9.0689,0.3228574527444449,0.0037080347478057,61.1201,61.1201,0.1009,-0.1009,0.001492,-0.001492,-0.044,0.044,2458629.391681,PC
0.3924302788844622,10.0059,10.0059,0.3907898047174142,0.0041802945779599,68.0726,68.0726,0.362,-0.362,0.001185,-0.001185,-0.072,0.072,2458656.668478,CP
0.3924302788844622,10.0059,10.0059,0.3907898047174142,0.0041802945779599,68.0726,68.0726,0.362,-0.362,0.001696,-0.001696,-0.072,0.072,2458664.490132,CP
0.6317076018271237,13.2851,13.2851,0.6045683471073307,0.042961735209924,639.004,639.004,9.4715,-9.4715,0.002094,-0.002094,-0.029,0.029,2458654.347994,KP
0.5357981991448127,11.9707,11.9707,0.5231560553098696,0.0235949726130496,353.891,353.891,4.919,-4.919,0.001239,-0.001239,-0.042,0.042,2458657.832537,KP
0.6232068064737388,13.1686,13.1686,0.6123241065708164,0.0174624214464208,263.609,263.609,1.659,-1.659,0.000501,-0.000501,-0.029,0.029,2458656.987874,KP
0.6319702873487736,13.2887,13.2887,0.6092679486622592,0.0359231108502816,535.383,535.383,7.8145,-7.8145,0.001251,-0.001251,-0.042,0.042,2458656.633231,KP
0.4233250149584811,10.4293,10.4293,0.4178194394275937,0.013005552084909,197.996,197.996,3.038,-3.038,0.000256,-0.000256,-0.089,0.089,2460147.378764,KP
0.3659720093983042,9.6433,9.6433,0.3608838264873367,0.0139032023769605,211.211,211.211,2.4835,-2.4835,0.000449,-0.000449,-0.059,0.059,2460176.993334,KP
