Model,Train Acc,Test Acc,F1 Score,AUC,Time (s)
XGBoost,0.8076117636347082,0.6456692913385826,0.658230769750937,0.7812282233132756,0.7406511306762695
Random Forest,0.8397523445324593,0.6413743736578382,0.6566554713750742,0.7769301507724988,1.292501449584961
SVM,0.5807156514613494,0.5819613457408733,0.6019341599924656,0.7389579506502737,24.19625186920166
