,train_accuracy,test_accuracy,cv_mean,cv_std,overfit_gap
Logistic Regression,0.8878577963664881,0.9001568217459488,0.883545450585827,0.0044140661126206154,-0.012299025379460704
Random Forest,0.9657561103123775,0.9404077365394669,0.932297266482707,0.004540955770980601,0.02534837377291066
Gradient Boosting,0.9619657561103124,0.9456351280710925,0.9339961004655358,0.003013685898132119,0.01633062803921992
